Month,Comunidad Autónoma,Total Paro Registrado,Hombre edad < 25,Hombre edad 25-45,Hombre edad >=45,Mujer edad < 25,Mujer edad 25-45,Mujer edad >= 45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,Poblation,% Total Paro Registrado,% Hombre edad < 25,% Hombre edad 25-45,% Hombre edad >=45,% Mujer edad < 25,% Mujer edad 25-45,% Mujer edad >= 45,% Paro Agricultura,% Paro Industria,% Paro Construcción,% Paro Servicios,% Paro Sin empleo Anterior
Jan,Ceuta,11216,587,2005,1992,679,3249,2704,75,461,493,8278,1909,84202,0.13320348685304387,0.006971330847248284,0.023811785943326762,0.023657395311275267,0.00806394147407425,0.0385857818104083,0.032113251466711006,0.0008907151849124724,0.0054749293365953305,0.0058549678154913186,0.09831120400940595,0.0226716705066388
Jan,Comunidad Valenciana,366562,14519,54340,79288,12991,87067,118357,12932,48084,27554,256357,21635,5057353,0.07248099944773481,0.002870869405398437,0.010744751256240172,0.015677766610319666,0.0025687350675343405,0.017215923033254747,0.02340295407498745,0.0025570688856403736,0.009507740511686647,0.005448304676379126,0.050689955793079895,0.004277929580948769
Jan,Extremadura,105228,4883,15745,20656,4649,27559,31736,11374,6182,8476,73822,5374,1063987,0.09889970460165397,0.004589341787070707,0.014798113134840933,0.019413771032916756,0.004369414287956526,0.025901632256785094,0.029827432102083953,0.010689980234720913,0.005810221365486609,0.007966262745691441,0.06938242666498745,0.005050813590767557
Jan,Galicia,167755,4071,27884,40432,3763,40357,51248,6161,18363,13846,116181,13204,2701819,0.0620896514533357,0.0015067626661889638,0.010320454479000998,0.014964733018755142,0.001392765392500386,0.014936973942369937,0.01896796195452027,0.0022803155947900286,0.006796532262153756,0.005124695621727436,0.0430010300467944,0.004887077927870076
Jan,Comunidad de Madrid,350749,13856,57395,76626,12619,83500,106753,2819,21431,27914,276183,22402,6779888,0.051733745454202194,0.002043691577205995,0.008465479075760543,0.011301956610492681,0.0018612401856785835,0.01231583766575495,0.01574554033930944,0.00041578857939836175,0.0031609666708358602,0.004117177156908787,0.04073562867115209,0.0033041843759070945
Jan,Melilla,9332,607,1354,1625,686,2717,2343,65,143,581,6866,1677,87076,0.10717074739308191,0.0069709219532362535,0.01554963480178235,0.018661858606274978,0.007878175387018236,0.031202627589691764,0.026907529055078323,0.0007464743442509991,0.001642243557352198,0.0066723322155358535,0.07885065919426708,0.019259038081675776
Jan,Región de Murcia,102403,4927,15641,19844,4899,27090,30002,7148,10995,8062,67300,8898,1511251,0.06776041835538901,0.003260212896467893,0.01034970365611007,0.013130843255025141,0.0032416851998774525,0.017925546451251315,0.01985242689665714,0.004729856258159631,0.007275429428996242,0.0053346532111475855,0.044532642162023385,0.00588783729506217
Jan,Navarra,33872,1627,5694,6737,1471,8896,9447,1998,4662,1616,22774,2822,661197,0.051228302608753516,0.00246068872060823,0.008611654317850806,0.01018909644175639,0.002224752985872592,0.013454386514155387,0.01428772362851011,0.0030217922948833705,0.0070508486880611985,0.002444052226492256,0.03444359245429123,0.004268016945025461
Jan,País Vasco,117649,4337,21082,26089,4067,28362,33712,2595,14154,7988,79143,13769,2220504,0.05298301646833332,0.0019531601834538465,0.009494240947100299,0.01174913443074185,0.0018315661669602936,0.012772775910333871,0.015182138829743157,0.001168653602965813,0.00637422855351758,0.0035973814953722217,0.03564190832351574,0.006200844492961958
Jan,La Rioja,16352,571,2517,3662,482,3763,5357,1503,3061,922,10015,851,319914,0.051113736816769506,0.001784854679695168,0.007867739454978526,0.011446826334577418,0.0015066549135080052,0.011762536181598804,0.016745125252411584,0.004698137624486581,0.009568196452796688,0.002882024544096226,0.03130528829622961,0.0026600898991603994
Feb,Andalucía,806764,34685,134385,162237,34615,214387,226455,64789,47858,72304,539656,82157,8464411,0.09531247950979696,0.004097745253627216,0.015876473862150596,0.019166956803019136,0.004089475333841894,0.025328047043084275,0.026753781214073843,0.007654283328160695,0.005654026015513661,0.008542118287970657,0.06375588330954156,0.009706168568610386
Feb,Aragón,66972,3399,10111,13386,3147,16773,20156,3630,7617,4179,46024,5522,1329391,0.05037795501850095,0.0025568098475166447,0.0076057382666198286,0.010069272320934925,0.002367249364558659,0.012617055478786903,0.015161829740083994,0.0027305736235614655,0.005729691264646744,0.0031435446757199347,0.034620363760549,0.004153781694023805
Feb,Principado de Asturias,72940,2622,12670,16625,2340,17310,21373,1425,6183,6040,52594,6698,1018784,0.07159515657882339,0.0025736564374784056,0.01243639476081289,0.016318473788359458,0.002296855859534504,0.016990843986556523,0.020978931746081602,0.0013987263247165248,0.006068999905770016,0.005928636492131796,0.05162428934887081,0.006574504507334234
Feb,Islas Baleares,57565,3537,11108,10471,3341,15479,13629,665,2283,5072,47006,2539,1171543,0.04913605390497831,0.0030190953298342444,0.009481512842465022,0.008937785467541525,0.0028517945990885526,0.013212489853125323,0.01163337581292364,0.00056762747931574,0.001948712083124563,0.004329333195623208,0.040123153823632594,0.0021672273232822012
Feb,Canarias,207837,7161,33877,51034,6335,46289,63141,4527,8282,21041,158227,15760,2175952,0.09551543416398892,0.0032909733302940508,0.015568817694507967,0.023453642359757935,0.002911369368441951,0.021272987639433222,0.029017643771553785,0.0020804686868092677,0.003806150135664757,0.009669790510084781,0.07271621800480893,0.007242806826621175
